Timp,Nivel de oxigen,Puls cardiac,Mişcare
21:02:58 15/10/2025,85,73,0
21:03:02 15/10/2025,85,73,0
21:03:06 15/10/2025,85,73,0
21:03:10 15/10/2025,85,73,0
21:03:14 15/10/2025,85,74,0
21:03:18 15/10/2025,85,73,0
21:03:22 15/10/2025,85,72,0
21:03:26 15/10/2025,85,73,0
21:03:30 15/10/2025,85,75,0
21:03:34 15/10/2025,85,75,0
21:03:38 15/10/2025,85,73,0
21:03:42 15/10/2025,85,71,0
21:03:46 15/10/2025,86,69,0
21:03:50 15/10/2025,86,70,1
21:03:54 15/10/2025,85,72,1
21:03:58 15/10/2025,85,74,0
21:04:02 15/10/2025,85,74,0
21:04:06 15/10/2025,85,73,0
21:04:10 15/10/2025,85,73,0
21:04:14 15/10/2025,84,73,0
21:04:18 15/10/2025,84,73,0
21:04:22 15/10/2025,85,73,0
21:04:26 15/10/2025,85,73,0
21:04:30 15/10/2025,85,73,0
21:04:34 15/10/2025,85,73,0
21:04:38 15/10/2025,85,74,1
21:04:42 15/10/2025,85,75,0
21:04:46 15/10/2025,85,75,0
21:04:50 15/10/2025,85,75,0
21:04:54 15/10/2025,84,73,1
21:04:58 15/10/2025,85,73,0
21:05:02 15/10/2025,85,74,0
21:05:06 15/10/2025,85,75,0
21:05:10 15/10/2025,85,74,1
21:05:14 15/10/2025,85,72,0
21:05:18 15/10/2025,84,71,0
21:05:22 15/10/2025,85,71,0
21:05:26 15/10/2025,85,72,0
21:05:30 15/10/2025,85,74,0
21:05:34 15/10/2025,85,75,0
21:05:38 15/10/2025,85,74,0
21:05:42 15/10/2025,85,73,0
21:05:46 15/10/2025,85,72,0
21:05:50 15/10/2025,85,73,0
21:05:54 15/10/2025,85,73,0
21:05:58 15/10/2025,85,72,0
21:06:02 15/10/2025,85,73,0
21:06:06 15/10/2025,85,74,0
21:06:10 15/10/2025,85,74,0
21:06:14 15/10/2025,85,72,0
21:06:18 15/10/2025,84,73,0
